link,name,type,release,song_id
http://pearljam.com/music/lyrics/all/all/20797/12_full,1/2 Full,PJ Original,Riot Act,9c4aea2c-f3aa-432c-93ec-f24cc150b3ac
http://pearljam.com/music/lyrics/all/all/21126/2000_mile_blues,"2,000 Mile Blues",PJ Original,Ten (Reissue),90db88b8-86aa-4ab4-be94-01667938c7ca
http://pearljam.com/music/lyrics/all/all/20798/25_minutes_to_go,25 Minutes To Go,Cover,Live At Benaroya Hall,f7fb30e1-30c9-4b89-be40-ba11cedf68b7
http://pearljam.com/music/lyrics/all/all/21502/99_problems_(with_jay-z),99 Problems (with Jay-Z),Performed with Other Artist,,b9a1f70d-626e-4737-920a-8e0c7f65ffd9
http://pearljam.com/music/lyrics/all/all/21100/a_sort_of_homecoming,A Sort Of Homecoming,Cover,,dfc54be0-e137-4c53-b8b5-21888bf18a51
http://pearljam.com/music/lyrics/all/all/21169/acoustic_#1_(demo),Acoustic #1 (demo),PJ Original,Pearl Jam Twenty,09a096ce-789d-4b8d-8df3-540352ea8359
http://pearljam.com/music/lyrics/all/all/20657/across_the_universe,Across The Universe,Cover,,c6eb4901-17b1-4933-ba2a-be8db2853e71
http://pearljam.com/music/lyrics/all/all/20799/act_of_love,Act Of Love,Cover,Mirror Ball,0bfad811-687b-42c3-be46-9497429d803c
http://pearljam.com/music/lyrics/all/all/22098/after_hours,After Hours,Cover,,f8856d7d-1c94-4414-9686-272ce4dec73a
http://pearljam.com/music/lyrics/all/all/20800/aint_nothing_to_do,Ain't Nothing to Do,Cover,,c5713e44-152d-4484-bc0d-4dc8a84fbb82
http://pearljam.com/music/lyrics/all/all/21151/aint_talkin_bout_love,Ain't Talkin 'Bout Love,Cover,,f033c7f9-240c-4af7-a1c8-3ecfa7a3cd6d
http://pearljam.com/music/lyrics/all/all/20801/alive,Alive,PJ Original,Alive,b6385101-281d-4712-8e18-ef02114a7132
http://pearljam.com/music/lyrics/all/all/20802/all_along_the_watchtower,All Along The Watchtower,Cover,,99065ed9-e73d-423c-bb6e-2f0e48fda874
http://pearljam.com/music/lyrics/all/all/22974/all_i_want_is_you,All I Want Is You,Cover,,3ae54002-fc77-48e8-8160-ca862947a64c
http://pearljam.com/music/lyrics/all/all/21044/all_night,All Night,PJ Original,Lost Dogs,5ddf6f40-4d65-49ff-bf30-326fb5fdf817
http://pearljam.com/music/lyrics/all/all/21162/all_night_thing,All Night Thing,Cover,,8ce39780-fa2b-4f13-b350-d1a675217003
http://pearljam.com/music/lyrics/all/all/20803/all_or_none,All Or None,PJ Original,Riot Act,6f5e4e7e-e22c-4248-a22f-74cf230ae298
http://pearljam.com/music/lyrics/all/all/21111/all_the_way,All The Way,PJ Original,Eddie Vedder- All The Way,ca464112-d00b-4dca-bdb3-5a546a5e8c50
http://pearljam.com/music/lyrics/all/all/20656/all_those_yesterdays,All Those Yesterdays,PJ Original,Yield,0be32e7f-a45e-4297-9486-44b9c1c1559b
http://pearljam.com/music/lyrics/all/all/20804/alone,Alone,PJ Original,Go,cd72538c-10d4-4e84-9c24-676592b98ae5
http://pearljam.com/music/lyrics/all/all/21004/american_in_me,American In Me,Cover,Pearl Jam: Live At Easy Street,93bcbb7d-e7d1-458a-9eb0-f5dc755217b9
http://pearljam.com/music/lyrics/all/all/20664/american_pie,American Pie,Cover,,c22f37b1-2ddd-4a85-987c-13024c15c6c7
http://pearljam.com/music/lyrics/all/all/21132/amongst_the_waves,Amongst The Waves,PJ Original,Backspacer,89f0b513-cf33-49a1-a0c6-643f655a8b7f
http://pearljam.com/music/lyrics/all/all/20662/androgynous_mind,Androgynous Mind,Cover,,317f786b-a9a5-470b-9de6-37604dc3e886
http://pearljam.com/music/lyrics/all/all/20805/angel,Angel,PJ Original,Holiday 1993,a00124bb-70c5-4f03-9e1b-702f53888771
http://pearljam.com/music/lyrics/all/all/20806/angie,Angie,Cover,,032481a7-382b-4582-be22-8a0e8f8639ef
http://pearljam.com/music/lyrics/all/all/20807/animal,Animal,PJ Original,Vs.,17115e6f-01d0-4b8f-828d-fc440913cb5b
http://pearljam.com/music/lyrics/all/all/20661/another_brick_in_the_wall,Another Brick In The Wall,Cover,,c42321a9-94a2-4899-adf5-dbce5c7c2c89
http://pearljam.com/music/lyrics/all/all/20808/arc,Arc,PJ Original,Riot Act,7c6ae0e7-1f70-4ea0-8fb5-fbc5fd0013d0
http://pearljam.com/music/lyrics/all/all/21152/arms_aloft,Arms Aloft,Cover,Live on Ten Legs,f3cb3f59-5750-4e4a-9b94-d42fc76ddac8
http://pearljam.com/music/lyrics/all/all/21085/army_reserve,Army Reserve,PJ Original,Pearl Jam,469c09e1-bbce-4f87-bf31-6871de1a9f60
http://pearljam.com/music/lyrics/all/all/20809/around_the_bend,Around The Bend,PJ Original,No Code,d18f45cc-68a2-4e2c-8ddf-6ab458072de3
http://pearljam.com/music/lyrics/all/all/21091/atomic_dog,Atomic Dog,Cover,,66fe157c-84c3-473d-beb0-492d126e1931
http://pearljam.com/music/lyrics/all/all/20659/away_from_work,Away from Work,Cover,,5bfbd112-e7c6-42e2-8016-abaf39e03c82
http://pearljam.com/music/lyrics/all/all/21054/aye_davanita,Aye Davanita,PJ Original,Vitalogy,4c7dd0c6-be69-48ef-b8dc-8b6288efc234
http://pearljam.com/music/lyrics/all/all/20810/baba_oriley,Baba O'Riley,Cover,Live At The Garden,ca50e8dd-1333-4693-84dc-0e7eb081ebfe
http://pearljam.com/music/lyrics/all/all/20811/baby_beluga,Baby Beluga,Cover,,516fb2a8-df34-407d-b1e8-9669ec10d235
http://pearljam.com/music/lyrics/all/all/21033/bad,Bad,Cover,,13334a65-5184-43e9-a370-176226765422
http://pearljam.com/music/lyrics/all/all/20812/bad_mouth_improv,Bad Mouth improv,PJ Original,,c37d1060-1ac6-405a-a2e0-8a6cf4c0d4dd
http://pearljam.com/music/lyrics/all/all/21171/be_like_wind,Be Like Wind,Cover,Pearl Jam Twenty,fa8eac2f-f72f-4295-837f-b41783cd5966
http://pearljam.com/music/lyrics/all/all/20813/beast_of_burden,Beast of Burden,Cover,,0648296b-9e9c-45a6-a5cc-191ad94e1c4a
http://pearljam.com/music/lyrics/all/all/20665/beautiful_way,Beautiful Way,Cover,,bc5b12e5-4741-459f-b561-8f9b77be1a55
http://pearljam.com/music/lyrics/all/all/21102/beds_are_burning,Beds Are Burning,Cover,,06de1de1-a9b4-402a-98d5-6aed2c243d0e
